"location","date","AS (Lineage)","AY (Lineage)","B (Lineage)","BD (Lineage)","Delta - AY.112 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.38 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","L (Lineage)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.1.18 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.2 (WHO VOC)","P (Lineage)","Q (Lineage)","Other","Unknown"
"Azerbaijan","2020-03-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Azerbaijan","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56"
"Azerbaijan","2020-04-05","104","0","104","0","0","0","0","0","312","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","814"
"Azerbaijan","2020-05-03","0","0","0","0","0","0","0","0","534","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-05-17","0","0","671","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-05-31","0","0","370","0","0","0","0","0","1851","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-06-14","0","0","1374","0","0","0","0","0","3090","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-06-28","809","0","0","0","0","0","0","0","5659","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-07-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7617"
"Azerbaijan","2020-07-26","0","0","0","0","0","0","0","0","6009","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-08-09","880","0","880","0","0","0","0","0","1759","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1706"
"Azerbaijan","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2055"
"Azerbaijan","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1859"
"Azerbaijan","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1503"
"Azerbaijan","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4273"
"Azerbaijan","2020-11-01","0","0","4523","0","0","0","0","0","6958","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-11-15","0","0","6415","0","0","0","0","0","12830","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-11-29","0","0","15941","0","0","0","0","0","26567","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","2020-12-13","0","0","16746","0","0","0","0","0","39073","0","0","0","0","0","0","0","1861","0","0","0"
