"location","date","A (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.119 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.25 (WHO VOC)","Delta - AY.33 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.44 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Other","Unknown"
"Bermuda","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Bermuda","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"Bermuda","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49"
"Bermuda","2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29"
"Bermuda","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Bermuda","2020-05-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Bermuda","2020-06-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Bermuda","2020-06-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Bermuda","2020-07-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Bermuda","2020-07-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Bermuda","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Bermuda","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Bermuda","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Bermuda","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Bermuda","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Bermuda","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Bermuda","2020-11-01","0","0","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2020-11-15","0","0","19","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2020-11-29","0","0","20","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2020-12-13","0","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2020-12-27","0","48","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2021-01-10","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2021-01-24","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bermuda","2021-02-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Bermuda","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Bermuda","2021-03-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"Bermuda","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67"
"Bermuda","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","611"
"Bermuda","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","723"
"Bermuda","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","270"
"Bermuda","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"Bermuda","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Bermuda","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Bermuda","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Bermuda","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Bermuda","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Bermuda","2021-08-08","10","0","0","0","0","10","0","19","0","10","0","0","0","10","10","10","0"
"Bermuda","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136","0"
"Bermuda","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","298"
"Bermuda","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1429"
"Bermuda","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","859"
"Bermuda","2021-10-17","0","0","24","0","0","0","0","139","24","24","0","24","0","0","0","0","0"
"Bermuda","2021-10-31","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","67","0"
"Bermuda","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","41","0"
"Bermuda","2021-11-28","0","0","4","0","0","4","4","0","0","0","0","0","0","0","0","13","0"
"Bermuda","2021-12-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
