"location","date","A.23.1","B (Lineage)","Beta (WHO VOC)","C (Lineage)","C.1.2 (WHO AFM)","Delta (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.21 (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.24 (WHO VOC)","Delta - AY.30 (WHO VOC)","Delta - AY.33 (WHO VOC)","Delta - AY.35 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.4.4 (WHO VOC)","Other","Unknown"
"Botswana","2020-04-05","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-04-19","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Botswana","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Botswana","2020-05-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Botswana","2020-06-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Botswana","2020-06-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Botswana","2020-07-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","307"
"Botswana","2020-07-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","287"
"Botswana","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118"
"Botswana","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","504"
"Botswana","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694"
"Botswana","2020-09-20","0","565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-10-04","0","559","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-10-18","0","2070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-11-01","0","1400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-11-15","0","1583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-11-29","0","1109","925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-12-13","0","2243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2020-12-27","0","813","712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-01-10","0","1091","935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-01-24","56","500","3050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-02-07","0","0","3849","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-02-21","0","303","2719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-03-07","0","0","5222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-03-21","0","118","3630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-04-04","0","3078","2308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3197"
"Botswana","2021-05-02","0","1430","953","0","0","0","0","0","0","0","477","0","0","0","0","0","0","0"
"Botswana","2021-05-16","0","430","1576","0","0","144","0","0","0","144","0","0","0","0","0","0","430","0"
"Botswana","2021-05-30","0","86","3858","0","0","0","0","0","0","0","0","0","0","0","0","0","172","0"
"Botswana","2021-06-13","0","961","3788","0","0","0","0","0","57","57","0","453","0","0","0","0","396","0"
"Botswana","2021-06-27","0","900","1554","0","0","409","0","0","82","82","0","4620","0","0","41","0","328","0"
"Botswana","2021-07-11","0","1267","373","0","0","671","0","0","0","0","0","4619","0","0","0","0","969","0"
"Botswana","2021-07-25","0","4103","0","0","0","1759","0","1173","1173","0","0","13479","0","0","587","0","0","0"
"Botswana","2021-08-08","0","0","831","0","831","0","0","0","0","831","0","20765","0","0","0","0","1662","0"
"Botswana","2021-08-22","0","292","292","0","0","583","0","0","0","0","0","22722","0","0","0","0","0","0"
"Botswana","2021-09-05","0","49","0","0","0","3930","98","0","0","98","0","8296","243","49","49","49","0","0"
"Botswana","2021-09-19","0","0","0","0","0","10272","0","0","0","0","0","1142","1522","0","0","0","0","0"
"Botswana","2021-10-03","0","0","0","0","0","1673","0","0","0","0","0","0","5296","0","0","0","0","0"
"Botswana","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2636"
