"location","date","cases","A (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.4 (WHO VOC)","Alpha - Q.7 (WHO VOC)","B (Lineage)","B.1.258 - 20A/S:439K","Beta (WHO VOC)","C.36 (ECDC VUM)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.15 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.9 (WHO VOC)","Iota (WHO AFM)","Zeta - P.2 (CDC VBM)","Unknown"
"Georgia","2020-03-08","13","2","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-03-22","41","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-04-05","120","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-04-19","220","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-05-03","195","0","0","0","0","0","195","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-05-17","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106"
"Georgia","2020-05-31","88","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-06-14","81","0","0","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-06-28","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"Georgia","2020-07-12","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62"
"Georgia","2020-07-26","145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"Georgia","2020-08-09","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Georgia","2020-08-23","186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","186"
"Georgia","2020-09-06","239","0","0","0","0","0","239","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-09-20","1852","0","0","0","0","0","1852","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-10-04","4616","0","0","0","0","0","4616","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-10-18","9359","0","0","0","0","0","9359","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-11-01","23250","0","0","0","0","0","23250","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-11-15","38951","0","6492","0","0","0","32460","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-11-29","52690","0","0","0","0","0","52690","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2020-12-13","57358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57358"
"Georgia","2020-12-27","31879","0","0","0","0","0","31879","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-01-10","17624","0","0","0","0","0","17624","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-01-24","14289","0","3573","0","0","0","7145","0","0","0","0","0","0","0","0","0","3573","0"
"Georgia","2021-02-07","8506","0","2127","0","0","0","6380","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-02-21","6331","0","4221","0","0","0","1407","704","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-03-07","4496","0","3148","0","0","0","1349","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-03-21","4629","0","3858","0","0","0","772","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-04-04","6353","0","4765","0","0","0","1589","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-04-18","11525","0","11525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-05-02","17087","0","0","5696","0","0","5696","0","0","5696","0","0","0","0","0","0","0","0"
"Georgia","2021-05-16","17930","0","2445","815","0","0","8965","0","0","1630","1630","0","0","1630","0","815","0","0"
"Georgia","2021-05-30","13228","0","9158","509","0","0","2544","0","509","0","509","0","0","0","0","0","0","0"
"Georgia","2021-06-13","10362","0","8420","0","648","648","648","0","0","0","0","0","0","0","0","0","0","0"
"Georgia","2021-06-27","9557","0","7168","0","598","0","0","0","0","0","1195","0","0","598","0","0","0","0"
"Georgia","2021-07-11","13630","0","5049","0","0","0","0","0","0","0","5553","1010","505","1515","0","0","0","0"
"Georgia","2021-07-25","25607","0","3201","0","3201","0","0","0","0","0","0","0","0","19206","0","0","0","0"
"Georgia","2021-08-08","45154","0","20841","0","0","0","3474","0","0","0","3474","6947","0","6947","3474","0","0","0"
"Georgia","2021-08-22","66831","0","9548","0","0","0","0","0","0","0","19095","0","9548","28642","0","0","0","0"
"Georgia","2021-09-05","50093","0","0","0","0","0","1927","0","0","0","26974","0","0","21194","0","0","0","0"
"Georgia","2021-09-19","30427","0","0","0","0","0","0","0","0","0","30427","0","0","0","0","0","0","0"
"Georgia","2021-10-03","22489","0","0","0","0","0","0","0","0","0","10380","0","0","12110","0","0","0","0"
"Georgia","2021-10-17","44581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44581"
