"location","date","A.2.5","AY (Lineage)","B (Lineage)","Delta - AY.103 (WHO PVOC)","Delta - AY.25.1 (WHO PVOC)","Delta - AY.39.1 (WHO PVOC)","Delta - AY.4 (WHO PVOC)","Delta - AY.44 (WHO PVOC)","Delta - AY.5.6 (WHO PVOC)","Delta - AY.75 (WHO PVOC)","Iota - B.1.526 (WHO PVOI)","Q (Lineage)","Other"
"Grenada","2021-01-10","0,0","0,0","75,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0","0,0","0"
"Grenada","2021-01-24","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Grenada","2021-04-18","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Grenada","2021-06-27","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Grenada","2021-07-25","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Grenada","2021-08-08","0,0","0,0","0,0","0,0","33,33333333333333","33,33333333333333","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0"
"Grenada","2021-08-22","0,0","33,33333333333333","0,0","0,0","0,0","0,0","16,666666666666664","16,666666666666664","0,0","33,33333333333333","0,0","0,0","0"
"Grenada","2021-09-05","0,0","25,0","0,0","0,0","0,0","0,0","25,0","0,0","50,0","0,0","0,0","0,0","0"
"Grenada","2021-09-19","0,0","55,55555555555556","0,0","0,0","0,0","0,0","16,666666666666664","0,0","27,77777777777778","0,0","0,0","0,0","0"
"Grenada","2021-12-26","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
