"location","date","A.23.1","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","B (Lineage)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.33 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.44 (WHO VOC)"
"Iran","2020-02-23","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-03-08","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-03-22","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-04-05","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-04-19","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-05-03","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-05-17","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-05-31","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-06-14","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-06-28","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-07-12","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-07-26","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-08-23","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-09-20","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-10-04","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-10-18","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-11-01","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-11-15","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-11-29","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-12-13","6,666666666666667","0,0","0,0","93,33333333333333","0,0","0,0","0,0","0,0","0,0"
"Iran","2020-12-27","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-01-10","0,0","6,25","0,0","93,75","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-01-24","0,0","12,280701754385964","0,0","87,71929824561403","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-02-07","0,0","25,925925925925924","3,7037037037037033","70,37037037037037","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-02-21","0,0","40,74074074074074","0,0","59,25925925925925","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-03-07","0,0","83,33333333333334","0,0","16,666666666666664","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-04-04","0,0","57,14285714285714","0,0","14,285714285714285","28,57142857142857","0,0","0,0","0,0","0,0"
"Iran","2021-04-18","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-05-02","0,0","14,285714285714285","7,142857142857142","0,0","0,0","78,57142857142857","0,0","0,0","0,0"
"Iran","2021-05-16","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-07-25","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Iran","2021-08-08","0,0","0,0","0,0","0,0","0,0","33,33333333333333","0,0","33,33333333333333","33,33333333333333"
"Iran","2021-09-05","0,0","0,0","0,0","0,0","0,0","50,0","50,0","0,0","0,0"
