"location","date","AD (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.1.519 (WHO FMV)","B.1.177 - 20E/EU1","B.1.258 - 20A/S:439K","BA.2.12.1 (WHO VOC-LUM)","C (Lineage)","Delta (WHO VOC)","Delta - AY.100 (WHO VOC)","Delta - AY.110 (WHO VOC)","Delta - AY.112 (WHO VOC)","Delta - AY.116 (WHO VOC)","Delta - AY.120.2.1 (WHO VOC)","Delta - AY.121 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.125 (WHO VOC)","Delta - AY.126 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.129 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.23.2 (WHO VOC)","Delta - AY.26 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.33 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.4.2 (WHO VOC)","Delta - AY.4.2.3 (WHO VOC)","Delta - AY.4.3 (WHO VOC)","Delta - AY.4.7 (WHO VOC)","Delta - AY.42 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.43.4 (WHO VOC)","Delta - AY.46 (WHO VOC)","Delta - AY.46.6 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.55 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.60 (WHO VOC)","Delta - AY.7.1 (WHO VOC)","Delta - AY.7.2 (WHO VOC)","Delta - AY.84 (WHO VOC)","Delta - AY.87 (WHO VOC)","Delta - AY.9 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Delta - AY.98 (WHO VOC)","Delta - AY.98.1 (WHO VOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.10 (WHO VOC)","Omicron - BA.1.1.11 (WHO VOC)","Omicron - BA.1.1.13 (WHO VOC)","Omicron - BA.1.1.15 (WHO VOC)","Omicron - BA.1.16 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Omicron - BA.1.19 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.23 (WHO VOC)","Omicron - BA.2.25 (WHO VOC)","Omicron - BA.2.39 (WHO VOC)","Omicron - BA.2.44 (WHO VOC)","Omicron - BA.2.8 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Unknown"
"Kosovo","2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31,0"
"Kosovo","2020-04-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109,0"
"Kosovo","2020-04-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370,0"
"Kosovo","2020-05-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313,0"
"Kosovo","2020-05-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155,0"
"Kosovo","2020-05-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92,0"
"Kosovo","2020-06-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","367,0"
"Kosovo","2020-06-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1153,0"
"Kosovo","2020-07-12","","","1417,0","","","","","709,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2020-07-26","","","969,0","","","","","1454,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2020-08-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3110,0"
"Kosovo","2020-08-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2201,0"
"Kosovo","2020-09-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1671,0"
"Kosovo","2020-09-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","944,0"
"Kosovo","2020-10-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","751,0"
"Kosovo","2020-10-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1077,0"
"Kosovo","2020-11-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2437,0"
"Kosovo","2020-11-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9789,0"
"Kosovo","2020-11-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9940,0"
"Kosovo","2020-12-13","","","","","","","","7523,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2020-12-27","","","2020,0","2020,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-01-10","167,0","499,0","1662,0","","333,0","499,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3541,0"
"Kosovo","2021-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4371,0"
"Kosovo","2021-02-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4792,0"
"Kosovo","2021-03-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6120,0"
"Kosovo","2021-03-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7695,0"
"Kosovo","2021-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10784,0"
"Kosovo","2021-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10112,0"
"Kosovo","2021-05-02","","","","","","","","","2447,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-05-16","","2868,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-05-30","","491,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-06-13","","173,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-06-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129,0"
"Kosovo","2021-07-11","","185,0","","","","","","","","","","","","","","","185,0","","","","","","","","","","","","185,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-07-25","","4,0","","","","","","","8,0","","","30,0","","","","4,0","12,0","","","","","","","","","","","","38,0","","","","","4,0","8,0","4,0","","15,0","8,0","","","","","","","","23,0","12,0","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-08-08","","23,0","","","","","","","46,0","12,0","","276,0","","12,0","","104,0","92,0","","","","12,0","23,0","12,0","","","","12,0","","482,0","","","35,0","12,0","115,0","127,0","","","264,0","23,0","","12,0","","46,0","","","","104,0","58,0","","23,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-08-22","","","","","","","","","881,0","","252,0","1259,0","","","","1385,0","2517,0","126,0","","881,0","","252,0","126,0","126,0","","","","","4279,0","","","126,0","","630,0","1636,0","252,0","","2140,0","252,0","126,0","252,0","","378,0","","","","630,0","504,0","","378,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-09-05","","","","","","","","","358,0","","","1429,0","","","","1072,0","1072,0","","","1072,0","","715,0","","","","","","","4287,0","","","","","1429,0","1786,0","1072,0","","3215,0","","","","","1429,0","","","","715,0","358,0","","2858,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-09-19","","","","","","","","","143,0","","","315,0","29,0","","","315,0","629,0","29,0","58,0","315,0","","29,0","","","","","29,0","","1885,0","","","","","143,0","714,0","115,0","","1085,0","143,0","","","115,0","286,0","115,0","29,0","","","86,0","","343,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-10-03","","","","","","","","","30,0","","","40,0","","","","89,0","30,0","10,0","","79,0","","10,0","","","10,0","","","","326,0","","","","","10,0","60,0","10,0","10,0","198,0","","","","10,0","","","","10,0","10,0","10,0","10,0","129,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-10-17","","","","","","","","","","9,0","","","","","","27,0","","9,0","","54,0","","","","","","18,0","","","89,0","","","","","","36,0","18,0","","45,0","","","","","","","","","18,0","9,0","","18,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-10-31","","","","","","","","","","","","","","","","6,0","6,0","","","11,0","","","","","","","6,0","6,0","74,0","","","","","","69,0","","","16,0","","","22,0","","","","","","","","","11,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-11-14","","","","","","","","","19,0","","","","","","","10,0","24,0","","","10,0","5,0","","","","","","5,0","","14,0","","","","","","33,0","","14,0","19,0","","","","","","","5,0","","5,0","","","28,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-11-28","","","","","","","","","10,0","","","","","","","","20,0","","","10,0","","","","","","","10,0","","20,0","5,0","5,0","","","","25,0","","10,0","","","","","","","","","","","","","20,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-12-12","","","","","","","","","","","","","","","","","9,0","","9,0","51,0","","","","","","","","","","17,0","17,0","","","","9,0","","","","","","","","","","","","","","","9,0","","","","","","","","","","","","","","","","","","","",""
"Kosovo","2021-12-26","","","","","","","","","","","","","","","17,0","38,0","","","","","","","","","","","","","6,0","","","","","","22,0","11,0","","11,0","","","","","","","6,0","","","","","","6,0","22,0","","","","","6,0","","","","","","","","","","","","",""
"Kosovo","2022-01-09","","","","","","","","","","","","","","","","309,0","","103,0","","","","","","","","","","","","","","","","","103,0","","","","","","","","","","","","","","","","309,0","309,0","","","","","","206,0","","","","","","","","","","","",""
"Kosovo","2022-01-23","","","","","","","","","241,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2647,0","11310,0","1204,0","","241,0","241,0","","241,0","241,0","1204,0","482,0","241,0","482,0","","","","","","",""
"Kosovo","2022-02-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1805,0","25258,0","","","","","1805,0","","3609,0","3609,0","","","","","","","","","",""
"Kosovo","2022-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","642,0","4492,0","","81,0","","81,0","","","81,0","241,0","","","1926,0","","","","","","81,0",""
"Kosovo","2022-03-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185,0","622,0","34,0","68,0","","17,0","","","17,0","51,0","34,0","","353,0","","","","","","101,0",""
"Kosovo","2022-03-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116,0","","","","","","","","","","","","346,0","39,0","","","","","",""
"Kosovo","2022-04-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61,0","","","","","","","","","","","","303,0","31,0","","","","","16,0",""
"Kosovo","2022-04-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17,0","","","","","","","","","","","","278,0","9,0","","","9,0","","17,0",""
"Kosovo","2022-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17,0","","","","","","","","","","","148,0","","17,0","17,0","","","25,0",""
"Kosovo","2022-05-15","","","","","","","8,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104,0","16,0","","8,0","","8,0","8,0",""
"Kosovo","2022-05-29","","","","","","","38,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51,0","","","","","","26,0",""
"Kosovo","2022-06-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90,0"
"Kosovo","2022-06-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235,0"
"Kosovo","2022-07-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3069,0"
"Kosovo","2022-07-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6556,0"
