"location","date","BA.2.3.20 (WHO VOC-SUM)","Omicron - BA.2 (WHO VOC)","Omicron - BA.4.1 (WHO VOC)","Omicron - BA.5.1 (WHO VOC)","Omicron - BA.5.1.1 (WHO VOC)","Omicron - BF.8 (WHO VOC)","XBB (WHO VOC-SUM)","Other","Unknown"
"Marshall Islands","2020-11-01","0","0","0","0","0","0","0","0","2"
"Marshall Islands","2020-11-15","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-11-29","0","0","0","0","0","0","0","0","3"
"Marshall Islands","2020-12-13","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-12-27","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-01-10","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-01-24","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-02-07","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-02-21","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-03-07","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-03-21","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-04-04","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-04-18","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-05-02","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-05-16","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-05-30","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-06-13","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-06-27","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-07-11","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-07-25","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-08-08","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-08-22","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-09-05","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-09-19","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-10-03","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-10-17","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-10-31","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-11-14","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-11-28","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-12-12","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-12-26","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-01-09","0","0","0","0","0","0","0","0","3"
"Marshall Islands","2022-01-23","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-02-06","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-02-20","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-03-06","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-03-20","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-04-03","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-04-17","0","7","0","0","0","0","0","0","0"
"Marshall Islands","2022-05-01","0","0","0","0","0","0","0","0","3"
"Marshall Islands","2022-05-15","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-05-29","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-06-12","0","0","0","0","0","0","0","0","1"
"Marshall Islands","2022-06-26","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-07-10","0","0","0","29","0","0","0","0","0"
"Marshall Islands","2022-07-24","0","0","0","0","0","0","0","0","12"
"Marshall Islands","2022-08-07","0","0","6","0","3","3","0","0","0"
"Marshall Islands","2022-08-21","0","0","0","0","0","0","0","0","9842"
"Marshall Islands","2022-09-04","0","0","0","0","0","0","0","0","5151"
"Marshall Islands","2022-09-18","0","0","0","0","0","0","0","0","150"
"Marshall Islands","2022-10-02","0","0","0","0","0","0","0","0","92"
"Marshall Islands","2022-10-16","0","0","0","0","0","0","70","0","0"
"Marshall Islands","2022-10-30","14","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-11-13","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-11-27","0","0","0","0","0","0","0","0","152"
"Marshall Islands","2022-12-11","0","0","0","0","0","0","0","0","6"
"Marshall Islands","2022-12-25","0","0","0","0","0","0","0","0","15"
