"location","date","A.27","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.118 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.125 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.43 (WHO VOC)","Eta (WHO FMV)","Lambda (WHO VOI)","Omicron - BA.1 (WHO VOC)"
"Mayotte","2021-01-10","0,0","0,0","17,46031746031746","73,01587301587301","4,761904761904762","4,761904761904762","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-01-24","3,6036036036036037","0,3003003003003003","18,01801801801802","36,93693693693694","1,5015015015015014","39,63963963963964","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-02-07","0,34965034965034963","0,0","7,3426573426573425","17,482517482517483","1,048951048951049","73,42657342657343","0,0","0,0","0,0","0,0","0,0","0,0","0,34965034965034963","0,0","0,0"
"Mayotte","2021-02-21","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-03-21","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-04-04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0"
"Mayotte","2021-04-18","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-05-30","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-07-25","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0"
"Mayotte","2021-08-08","0,0","0,0","0,0","0,0","0,0","11,11111111111111","0,0","0,0","5,555555555555555","44,44444444444444","5,555555555555555","27,77777777777778","0,0","5,555555555555555","0,0"
"Mayotte","2021-08-22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0"
"Mayotte","2021-10-03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Mayotte","2021-10-31","0,0","0,0","0,0","0,0","0,0","0,0","2,7027027027027026","78,37837837837837","0,0","0,0","0,0","18,91891891891892","0,0","0,0","0,0"
"Mayotte","2021-11-14","0,0","0,0","0,0","0,0","0,0","0,0","13,043478260869565","78,26086956521739","0,0","0,0","0,0","8,695652173913043","0,0","0,0","0,0"
"Mayotte","2021-11-28","0,0","0,0","0,0","0,0","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0"
"Mayotte","2021-12-12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","62,5","0,0","0,0","0,0","37,5","0,0","0,0","0,0"
"Mayotte","2021-12-26","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,3255813953488373","0,0","0,0","0,0","6,976744186046512","0,0","0,0","90,69767441860465"
