"location","date","A (Lineage)","A.23.1","AD (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.4 (WHO VOC)","B (Lineage)","B.1.1.277 - 20B/S:626S","B.1.1.28","B.1.1.302 - 20B/S:1122L","B.1.1.318 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","B.1.367 - 20C/S:80Y","B.1.620 - 20A/S:126A","Beta (WHO VOC)","C (Lineage)","C.16","C.36 (ECDC VUM)","C.36.3 (WHO AFM)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.7 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Eta (WHO VOI)","Gamma - P.1 (WHO VOC)","K (Lineage)","Kappa (WHO VOI)","L (Lineage)","Lambda (WHO VOI)","Other","R.1 (WHO AFM)","Theta - P.3 (PHE VUI)","U (Lineage)","W (Lineage)","Zeta - P.2 (PHE VUI)"
"Norway","2020-02-09","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-03-08","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-03-22","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-04-05","0,0","0,0","0,0","0,0","0,0","0,0","98,80952380952381","1,1904761904761905","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-04-19","0,0","0,0","0,0","0,0","0,0","0,0","98,38709677419355","1,6129032258064515","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-05-03","0,0","0,0","0,0","0,0","0,0","0,0","97,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,5","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-05-17","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-05-31","0,0","0,0","0,0","0,0","0,0","0,0","80,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-06-14","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-06-28","0,0","0,0","0,0","0,0","0,0","0,0","93,75","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,25","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-07-12","0,0","0,0","0,0","0,0","0,0","0,0","88,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-07-26","0,0","0,0","0,0","0,0","0,0","0,0","94,11764705882352","0,0","0,0","2,941176470588235","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,941176470588235","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-08-09","0,0","0,0","0,0","0,0","0,0","0,0","41,66666666666667","3,3333333333333335","0,0","1,6666666666666667","0,0","0,0","38,333333333333336","0,0","0,0","15,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-08-23","0,0","0,0","0,0","0,0","0,0","0,0","54,71698113207547","3,7735849056603774","3,7735849056603774","7,547169811320755","0,0","0,0","24,528301886792452","0,0","0,0","5,660377358490567","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-09-06","0,0","0,0","0,0","0,0","0,0","0,0","84,88372093023256","1,1627906976744187","0,0","2,3255813953488373","0,0","0,0","1,1627906976744187","0,0","1,1627906976744187","8,13953488372093","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1627906976744187","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-09-20","0,0","0,0","0,0","0,0","0,0","0,0","56,94444444444444","1,3888888888888888","0,0","4,166666666666666","0,0","1,3888888888888888","1,3888888888888888","0,0","0,0","23,61111111111111","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,11111111111111","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-10-04","0,0","0,0","0,0","0,0","0,0","0,0","20,930232558139537","1,744186046511628","0,0","0,5813953488372093","0,0","28,488372093023255","2,3255813953488373","0,5813953488372093","3,488372093023256","12,790697674418606","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","28,488372093023255","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5813953488372093","0,0"
"Norway","2020-10-18","0,0","0,0","0,0","0,0","0,0","0,0","20,13888888888889","1,3888888888888888","0,0","0,6944444444444444","0,0","9,722222222222223","13,194444444444445","0,6944444444444444","9,027777777777777","15,972222222222221","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","29,166666666666668","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-11-01","0,0","0,0","0,7092198581560284","0,0","0,0","0,0","40,78014184397163","5,319148936170213","0,0","4,25531914893617","0,0","3,900709219858156","13,47517730496454","8,51063829787234","7,446808510638298","3,1914893617021276","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,411347517730496","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-11-15","0,0","0,0","0,0","0,0","0,0","0,0","36,95652173913043","5,434782608695652","0,0","0,5434782608695652","0,0","7,065217391304348","14,673913043478262","3,804347826086957","18,478260869565215","1,0869565217391304","0,0","0,0","0,5434782608695652","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,41304347826087","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-11-29","0,0","0,0","0,0","0,0","0,0","0,0","56,17283950617284","2,4691358024691357","0,0","0,0","0,0","1,8518518518518516","20,37037037037037","0,6172839506172839","14,814814814814813","0,0","0,0","0,0","0,6172839506172839","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0864197530864197","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-12-13","0,0","0,0","0,0","1,3043478260869565","0,0","0,0","74,34782608695653","0,8695652173913043","0,0","0,0","0,0","0,0","13,478260869565217","0,8695652173913043","8,26086956521739","0,0","0,0","0,0","0,43478260869565216","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,43478260869565216","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2020-12-27","1,153846153846154","0,0","0,0","9,615384615384617","0,0","0,0","66,15384615384615","1,9230769230769231","0,0","0,38461538461538464","0,0","0,7692307692307693","15,769230769230768","0,38461538461538464","0,7692307692307693","0,0","0,0","0,38461538461538464","0,38461538461538464","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,38461538461538464","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,9230769230769231"
"Norway","2021-01-10","0,24509803921568626","0,0","0,0","11,76470588235294","0,24509803921568626","0,0","49,50980392156863","1,4705882352941175","0,0","0,0","0,0","2,941176470588235","27,450980392156865","3,1862745098039214","2,696078431372549","0,0","0,0","0,24509803921568626","0,24509803921568626","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Norway","2021-01-24","0,13531799729364005","0,0","0,0","12,719891745602165","0,0","0,0","51,82679296346414","0,13531799729364005","0,0","0,0","0,0","4,465493910690121","15,561569688768607","3,6535859269282813","9,472259810554803","0,0","0,0","0,2706359945872801","0,2706359945872801","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2706359945872801","0,0","0,0","0,0","0,13531799729364005","0,0","0,13531799729364005","0,13531799729364005","0,0","0,6765899864682002","0,0","0,13531799729364005"
"Norway","2021-02-07","0,14326647564469913","0,07163323782234957","0,0","26,21776504297994","0,0","0,0","48,28080229226361","0,9312320916905444","0,14326647564469913","0,0","0,21489971346704873","1,64756446991404","9,240687679083095","3,7249283667621778","5,014326647564469","0,0","0,0","1,0744985673352434","0,35816618911174786","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07163323782234957","1,0744985673352434","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,14326647564469913","1,2893982808022924","0,14326647564469913","0,21489971346704873"
"Norway","2021-02-21","0,3589375448671931","0,0","0,0","48,81550610193826","0,0","0,0","31,012203876525486","0,4307250538406317","0,0","0,0","1,3639626704953338","1,0768126346015794","8,327351040918881","2,5843503230437905","0,07178750897343862","0,0","0,0","3,9483129935391243","0,0","0,07178750897343862","0,07178750897343862","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9332376166547021","0,0","0,0","0,0","0,0","0,0","0,07178750897343862","0,0","0,0","0,4307250538406317","0,0","0,4307250538406317"
"Norway","2021-03-07","0,0","0,0","0,0","74,07886231415644","0,06464124111182934","0,0","10,471881060116354","0,0","0,0","0,0","0,12928248222365868","0,06464124111182934","3,4259857789269557","1,1635423400129283","0,06464124111182934","0,0","0,0","9,179056237879767","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,06464124111182934","0,904977375565611","0,06464124111182934","0,0","0,0","0,0","0,0","0,06464124111182934","0,0","0,0","0,0","0,0","0,25856496444731736"
"Norway","2021-03-21","0,0","0,0","0,0","88,02395209580838","0,059880239520958084","0,0","2,694610778443114","0,0","0,0","0,0","0,0","0,0","0,9580838323353293","0,47904191616766467","0,29940119760479045","0,0","0,0","5,149700598802395","0,0","0,0","0,0","0,11976047904191617","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,7365269461077846","0,11976047904191617","0,0","0,0","0,0","0,0","0,059880239520958084","0,0","0,0","0,0","0,0","0,29940119760479045"
"Norway","2021-04-04","0,0","0,0","0,0","92,46987951807229","0,07530120481927711","0,0","0,9036144578313252","0,0","0,0","0,0","0,0","0,0","0,07530120481927711","0,0","0,07530120481927711","0,0","0,0","3,990963855421686","0,0","0,0","0,37650602409638556","0,15060240963855423","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5813253012048192","0,07530120481927711","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2259036144578313"
"Norway","2021-04-18","0,0","0,0","0,0","95,99133261105092","0,054171180931744306","0,054171180931744306","0,6500541711809318","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,054171180931744306","1,895991332611051","0,0","0,0","0,21668472372697722","0,10834236186348861","0,054171180931744306","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,054171180931744306","0,5958829902491874","0,054171180931744306","0,0","0,10834236186348861","0,0","0,0","0,054171180931744306","0,054171180931744306","0,0","0,0","0,0","0,0"
"Norway","2021-05-02","0,0","0,0","0,0","97,58015728977615","0,0","0,0","0,18148820326678766","0,0","0,0","0,0","0,0","0,0","0,12099213551119178","0,0","0,18148820326678766","0,0","0,0","0,48396854204476714","0,0","0,0","0,48396854204476714","0,0","0,3024803387779794","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5444646098003629","0,0","0,0","0,06049606775559589","0,0","0,0","0,06049606775559589","0,0","0,0","0,0","0,0","0,0"
"Norway","2021-05-16","0,0","0,0","0,0","96,13045881702598","0,44223327805417356","0,0","0,16583747927031509","0,0","0,0","0,0","0,055279159756771695","0,0","0,0","0,0","0,0","0,0","0,0","0,33167495854063017","0,0","0,0","0,11055831951354339","0,2763957987838585","1,3266998341625207","0,8844665561083471","0,0","0,0","0,055279159756771695","0,0","0,0","0,0","0,0","0,0","0,11055831951354339","0,0","0,0","0,0","0,0","0,0","0,11055831951354339","0,0","0,0","0,0","0,0","0,0"
"Norway","2021-05-30","0,0","0,0","0,0","94,75982532751091","0,8005822416302766","0,0","0,0","0,0","0,0","0,0","0,21834061135371177","0,0","0,0","0,0","0,0","0,0","0,0","0,1455604075691412","0,0","0,0","0,2911208151382824","0,1455604075691412","2,2561863173216885","1,0189228529839884","0,0727802037845706","0,0","0,2911208151382824","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
