"location","date","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Omicron - BA.1.1 (WHO VOC)","Other","Unknown"
"Palestine","2020-01-05","0","0","0","0","0"
"Palestine","2020-01-19","0","0","0","0","0"
"Palestine","2020-02-02","0","0","0","0","0"
"Palestine","2020-02-16","0","0","0","0","0"
"Palestine","2020-03-01","0","0","0","0","0"
"Palestine","2020-03-08","0","0","0","0","0"
"Palestine","2020-03-15","0","0","0","0","31"
"Palestine","2020-03-22","0","0","0","0","0"
"Palestine","2020-03-29","0","0","0","0","62"
"Palestine","2020-04-05","0","0","0","0","0"
"Palestine","2020-04-12","0","0","0","0","164"
"Palestine","2020-04-26","0","0","0","0","74"
"Palestine","2020-05-10","0","0","0","0","205"
"Palestine","2020-05-24","0","0","0","0","55"
"Palestine","2020-06-07","0","0","0","0","41"
"Palestine","2020-06-21","0","0","0","0","336"
"Palestine","2020-06-28","0","0","0","0","0"
"Palestine","2020-07-05","0","0","0","0","3271"
"Palestine","2020-07-12","0","0","0","0","0"
"Palestine","2020-07-19","0","0","0","0","5337"
"Palestine","2020-07-26","0","0","0","0","0"
"Palestine","2020-08-02","0","0","0","0","5968"
"Palestine","2020-08-09","0","0","0","0","0"
"Palestine","2020-08-16","0","0","0","0","5999"
"Palestine","2020-08-23","0","0","0","0","0"
"Palestine","2020-08-30","0","0","0","0","6973"
"Palestine","2020-09-13","0","0","0","0","9989"
"Palestine","2020-09-27","0","0","0","0","10056"
"Palestine","2020-10-11","0","0","0","0","6562"
"Palestine","2020-10-25","0","0","0","0","6459"
"Palestine","2020-11-08","0","0","0","0","8019"
"Palestine","2020-11-15","0","0","0","0","0"
"Palestine","2020-11-22","0","0","0","0","13168"
"Palestine","2020-11-29","0","0","0","0","0"
"Palestine","2020-12-06","0","0","0","0","26922"
"Palestine","2020-12-13","0","0","0","0","0"
"Palestine","2020-12-20","0","0","0","0","27404"
"Palestine","2021-01-03","0","0","0","0","20773"
"Palestine","2021-01-10","0","0","0","0","0"
"Palestine","2021-01-17","0","0","0","0","12758"
"Palestine","2021-01-31","0","0","0","0","7879"
"Palestine","2021-02-07","0","0","0","0","0"
"Palestine","2021-02-14","0","0","0","0","9948"
"Palestine","2021-02-28","0","0","0","0","17974"
"Palestine","2021-03-14","0","0","0","0","28011"
"Palestine","2021-03-28","0","0","0","0","28771"
"Palestine","2021-04-11","0","0","0","0","31419"
"Palestine","2021-04-18","0","0","0","0","0"
"Palestine","2021-04-25","0","0","0","0","24461"
"Palestine","2021-05-09","0","0","0","0","11178"
"Palestine","2021-05-23","0","0","0","0","3764"
"Palestine","2021-06-06","0","0","0","0","4652"
"Palestine","2021-06-20","0","0","0","0","2752"
"Palestine","2021-07-04","0","0","0","0","1887"
"Palestine","2021-07-18","0","0","0","0","1149"
"Palestine","2021-08-01","0","0","0","0","1220"
"Palestine","2021-08-15","0","0","0","0","3406"
"Palestine","2021-08-29","0","0","0","0","15901"
"Palestine","2021-09-12","0","0","0","0","32564"
"Palestine","2021-09-26","0","0","0","0","28460"
"Palestine","2021-10-10","0","0","0","0","17183"
"Palestine","2021-10-24","0","0","0","0","7973"
"Palestine","2021-11-07","0","0","0","0","4302"
"Palestine","2021-11-21","0","0","0","0","2782"
"Palestine","2021-12-05","0","0","0","0","3671"
"Palestine","2021-12-19","0","0","0","0","4383"
"Palestine","2022-01-02","0","0","0","0","4331"
"Palestine","2022-01-16","0","0","0","0","5028"
"Palestine","2022-01-23","0","0","0","0","0"
"Palestine","2022-01-30","0","0","0","0","40373"
"Palestine","2022-02-13","0","0","0","0","95199"
"Palestine","2022-02-27","0","0","0","0","33379"
"Palestine","2022-03-13","0","0","0","0","9025"
"Palestine","2022-03-27","0","0","0","0","1947"
"Palestine","2022-04-10","0","0","0","0","678"
"Palestine","2022-04-24","0","0","0","0","589"
"Palestine","2022-05-08","0","0","0","0","250"
"Palestine","2022-05-22","0","0","0","0","388"
"Palestine","2022-06-05","0","0","0","0","191"
"Palestine","2022-06-19","0","0","0","0","597"
"Palestine","2022-07-03","0","0","0","0","2869"
"Palestine","2022-07-17","0","0","0","0","4894"
"Palestine","2022-07-31","0","0","0","0","16031"
"Palestine","2022-08-14","0","0","0","0","15351"
"Palestine","2022-08-28","0","0","0","0","4292"
"Palestine","2022-09-11","0","0","0","0","852"
"Palestine","2022-09-25","0","0","0","0","279"
"Palestine","2022-10-09","0","0","0","0","107"
"Palestine","2022-10-23","0","0","0","0","37"
"Palestine","2022-11-06","0","0","0","0","22"
"Palestine","2022-11-20","0","0","0","0","0"
"Palestine","2022-12-04","0","0","0","0","0"
"Palestine","2022-12-18","0","0","0","0","192"
"Palestine","2023-01-01","0","0","0","0","0"
"Palestine","2023-01-15","0","0","0","0","0"
"Palestine","2023-01-29","0","0","0","0","0"
"Palestine","2023-02-12","0","0","0","0","0"
"Palestine","2023-02-26","0","0","0","0","0"
"Palestine","2023-03-12","0","0","0","0","0"
