"location","date","A (Lineage)","A.23.1 (ECDC VUM)","A.27 (ECDC VUM)","AE (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.1.318 (WHO AFM)","B.1.177 - 20E/EU1","B.1.214.2 (WHO AFM)","B.1.619 (WHO AFM)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.4","Delta - AY.6","Eta (WHO VOI)","Other"
"Rwanda","2020-05-31","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-06-14","0,0","0,0","0,0","0,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","60,0"
"Rwanda","2020-06-28","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","66,66666666666666"
"Rwanda","2020-07-12","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0"
"Rwanda","2020-07-26","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-08-09","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-08-23","0,0","0,0","0,0","3,0303030303030303","0,0","96,96969696969697","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-09-06","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-09-20","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-10-18","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-11-01","0,0","14,285714285714285","0,0","0,0","0,0","85,71428571428571","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-11-15","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-11-29","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-12-13","0,0","40,0","0,0","0,0","0,0","60,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2020-12-27","2,0408163265306123","42,857142857142854","2,0408163265306123","0,0","0,0","53,06122448979592","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-01-10","3,125","62,5","0,0","0,0","3,125","28,125","0,0","0,0","0,0","0,0","3,125","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-01-24","0,0","65,45454545454545","0,0","0,0","3,6363636363636362","18,181818181818183","0,0","1,8181818181818181","0,0","1,8181818181818181","5,454545454545454","0,0","0,0","0,0","3,6363636363636362","0,0"
"Rwanda","2021-02-07","0,0","38,095238095238095","0,0","0,0","0,0","4,761904761904762","0,0","0,0","0,0","0,0","42,857142857142854","0,0","0,0","0,0","14,285714285714285","0,0"
"Rwanda","2021-02-21","5,0","50,0","0,0","0,0","0,0","15,0","0,0","0,0","5,0","0,0","20,0","0,0","0,0","0,0","0,0","5,0"
"Rwanda","2021-03-07","11,11111111111111","11,11111111111111","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","77,77777777777779","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-03-21","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-04-04","0,0","66,66666666666666","0,0","0,0","0,0","6,666666666666667","0,0","0,0","6,666666666666667","0,0","20,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-04-18","0,0","60,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-05-02","0,0","20,0","0,0","0,0","0,0","40,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0"
"Rwanda","2021-05-16","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","16,666666666666664","0,0","16,666666666666664","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-05-30","0,0","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0"
"Rwanda","2021-06-13","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","60,0","0,0","0,0","0,0","20,0"
"Rwanda","2021-06-27","0,0","7,446808510638298","0,0","0,0","1,0638297872340425","0,0","0,0","0,0","1,0638297872340425","0,0","13,829787234042554","71,27659574468085","3,1914893617021276","1,0638297872340425","0,0","1,0638297872340425"
