"location","date","A.23.1","B (Lineage)","B.1.466.2 (WHO FMV)","Delta (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.24 (WHO VOC)","Omicron - BA.1 (WHO VOC)","Other"
"Timor","2020-03-22","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Timor","2020-04-19","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Timor","2020-11-29","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Timor","2020-12-27","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Timor","2021-01-10","0,0","10,0","40,0","0,0","50,0","0,0","0,0","0"
"Timor","2021-01-24","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Timor","2021-02-21","0,0","0,0","25,0","0,0","75,0","0,0","0,0","0"
"Timor","2021-03-07","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Timor","2021-03-21","0,0","0,0","82,35294117647058","0,0","17,647058823529413","0,0","0,0","0"
"Timor","2021-04-18","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Timor","2021-05-02","0,0","0,0","98,57142857142858","1,4285714285714286","0,0","0,0","0,0","0"
"Timor","2021-05-16","0,0","0,0","98,66666666666667","0,0","1,3333333333333335","0,0","0,0","0"
"Timor","2021-06-13","0,0","0,0","87,5","0,0","12,5","0,0","0,0","0"
"Timor","2021-06-27","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Timor","2021-07-11","0,0","0,0","81,81818181818183","0,0","9,090909090909092","9,090909090909092","0,0","0"
"Timor","2021-08-08","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Timor","2022-02-06","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
