"location","date","Alpha (WHO VOC)","B (Lineage)","Delta - AY.26 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.39 (WHO VOC)","Gamma (WHO VOC)","Gamma - P.1.1 (WHO VOC)","Gamma - P.1.12 (WHO VOC)","Gamma - P.1.15 (WHO VOC)","R.1 (WHO FMV)","S (Lineage)"
"Trinidad and Tobago","2020-08-23","0,0","75,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0"
"Trinidad and Tobago","2020-09-06","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2020-09-20","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2020-11-01","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2020-11-29","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2020-12-13","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2020-12-27","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-01-24","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-02-21","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-03-21","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","66,66666666666666","0,0"
"Trinidad and Tobago","2021-04-04","62,5","12,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0","0,0"
"Trinidad and Tobago","2021-04-18","1,6129032258064515","75,80645161290323","0,0","0,0","0,0","6,451612903225806","0,0","0,0","0,0","16,129032258064516","0,0"
"Trinidad and Tobago","2021-05-02","0,0","28,901734104046245","0,0","0,0","0,0","56,06936416184971","1,7341040462427744","0,5780346820809248","0,0","12,716763005780345","0,0"
"Trinidad and Tobago","2021-05-16","1,4184397163120568","9,929078014184398","0,0","0,0","0,0","88,65248226950354","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-05-30","0,0","3,571428571428571","0,0","0,0","0,0","96,42857142857143","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-06-13","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-06-27","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-07-11","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-07-25","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Trinidad and Tobago","2021-08-08","0,0","8,16326530612245","2,0408163265306123","2,0408163265306123","0,0","85,71428571428571","0,0","0,0","2,0408163265306123","0,0","0,0"
"Trinidad and Tobago","2021-08-22","0,0","0,0","0,0","0,0","3,571428571428571","92,85714285714286","0,0","3,571428571428571","0,0","0,0","0,0"
