"location","date","variant","num_sequences","perc_sequences","num_sequences_total"
"Turkey","2020-03-22","B (Lineage)","0,7333333333333333","0,13333333333333333","3,783333333333333"
"Turkey","2020-04-05","A (Lineage)","0,14285714285714285","0,09961066335735959","1,0"
"Turkey","2020-04-05","B (Lineage)","0,22413793103448276","0,11467866686636621","0,8017241379310345"
"Turkey","2020-04-19","B (Lineage)","0,7777777777777778","0,311111111111111","2,111111111111111"
"Turkey","2020-05-03","B (Lineage)","0,7692307692307693","0,13352977667493787","3,2788461538461537"
"Turkey","2020-05-03","Other","1,0","0,11290322580645161","14,0"
"Turkey","2020-05-17","B (Lineage)","0,78125","0,14371205466580772","2,4479166666666665"
"Turkey","2020-05-17","Other","0,0","0,03394045868041164","0,0"
"Turkey","2020-05-31","B (Lineage)","0,6896551724137931","0,1609195402298851","2,1149425287356323"
"Turkey","2020-06-14","B (Lineage)","0,3728813559322034","0,23728813559322026","1,0"
"Turkey","2020-06-28","A (Lineage)","3,0","0,5454545454545454","8,0"
"Turkey","2020-06-28","B (Lineage)","0,38823529411764707","0,1582887700534759","1,2"
"Turkey","2020-07-12","B (Lineage)","0,0","0,21428571428571427","0,0"
"Turkey","2020-07-26","B (Lineage)","0,25","1,0","0,25"
"Turkey","2020-08-09","B (Lineage)","0,5454545454545454","0,6363636363636364","0,6818181818181818"
"Turkey","2020-08-23","B (Lineage)","0,2222222222222222","1,0","0,2222222222222222"
"Turkey","2020-09-06","B (Lineage)","0,25","0,35","0,7"
"Turkey","2020-09-20","B (Lineage)","0,23376623376623376","0,1818181818181817","0,5454545454545454"
"Turkey","2020-10-04","B (Lineage)","0,16129032258064516","0,4193548387096774","0,22580645161290322"
"Turkey","2020-10-18","B (Lineage)","0,0","0,75","0,0"
"Turkey","2020-11-01","B (Lineage)","0,14285714285714285","0,6428571428571429","0,14285714285714285"
"Turkey","2020-11-15","B (Lineage)","0,5","1,0","0,5"
"Turkey","2020-11-29","B (Lineage)","0,3974358974358974","0,15384615384615374","2,141025641025641"
"Turkey","2020-12-27","A (Lineage)","0,14285714285714285","0,04138923631635427","4,571428571428571"
"Turkey","2020-12-27","Alpha (VOC)","0,75","0,13492833986714747","2,5"
"Turkey","2020-12-27","B (Lineage)","0,5533980582524272","0,06961710666327116","4,825242718446602"
"Turkey","2021-01-10","AS (Lineage)","0,14285714285714285","0,09026001382266388","0,5714285714285714"
"Turkey","2021-01-10","Alpha (VOC)","1,4285714285714286","0,5971977227093607","2,0714285714285716"
"Turkey","2021-01-10","B (Lineage)","0,21568627450980393","0,09285425735521816","1,1372549019607843"
"Turkey","2021-01-10","B.1.177 (20E/EU1)","2,0","0,27184466019417475","4,0"
"Turkey","2021-01-24","A (Lineage)","0,4","0,03791838758697025","10,4"
"Turkey","2021-01-24","Alpha (VOC)","10,8","0,6276817046799528","16,533333333333335"
"Turkey","2021-01-24","B (Lineage)","1,3333333333333333","0,08813879583227423","12,833333333333334"
"Turkey","2021-01-24","Beta (VOC)","0,75","0,041130072979174","34,0"
"Turkey","2021-02-07","A (Lineage)","0,0","0,006687025095243036","0,0"
"Turkey","2021-02-07","AU (Lineage)","1,0","0,017213114754098358","127,0"
"Turkey","2021-02-07","Alpha (VOC)","17,818181818181817","0,5769582971818447","29,818181818181817"
"Turkey","2021-02-07","B (Lineage)","0,7094594594594594","0,03861240291115677","20,54054054054054"
"Turkey","2021-02-07","Beta (VOC)","1,4761904761904763","0,06716925964120929","21,761904761904763"
"Turkey","2021-02-07","Gamma - P.1 (VOC)","0,18181818181818182","0,044027948413458515","11,818181818181818"
"Turkey","2021-02-21","A (Lineage)","0,46153846153846156","0,0033597622444134704","69,15384615384616"
"Turkey","2021-02-21","AS (Lineage)","0,3333333333333333","0,0032840735216016505","21,0"
"Turkey","2021-02-21","Alpha (VOC)","10,571428571428571","0,12002121180359107","59,285714285714285"
"Turkey","2021-02-21","B (Lineage)","2,040372670807453","0,026466426525092724","58,077639751552795"
"Turkey","2021-02-21","B.1.177 (20E/EU1)","0,85","0,017915762962841465","48,2"
"Turkey","2021-02-21","Beta (VOC)","12,571428571428571","0,15304893716290083","66,61904761904762"
"Turkey","2021-02-21","C (Lineage)","2,0","0,01590366920368056","63,0"
"Turkey","2021-02-21","Epsilon (AFM)","0,2857142857142857","0,006800593838215476","56,285714285714285"
"Turkey","2021-02-21","Eta (VOI)","1,5","0,051189071104956185","2,0"
"Turkey","2021-02-21","Gamma - P.1 (VOC)","0,0","0,0028778279844228873","0,0"
"Turkey","2021-03-07","A (Lineage)","1,5454545454545454","0,015356456052624541","80,27272727272727"
"Turkey","2021-03-07","AS (Lineage)","0,2","0,0021108412110379254","70,4"
"Turkey","2021-03-07","Alpha (VOC)","2,0714285714285716","0,02931179494373525","25,285714285714285"
"Turkey","2021-03-07","B (Lineage)","2,2416267942583734","0,027385836871874056","53,389952153110045"
"Turkey","2021-03-07","B.1.177 (20E/EU1)","0,53125","0,007964638776009694","57,8125"
"Turkey","2021-03-07","Beta (VOC)","8,642857142857142","0,1096122348769286","69,28571428571429"
"Turkey","2021-03-07","C (Lineage)","1,0","0,014814814814814815","162,0"
"Turkey","2021-03-07","Eta (VOI)","0,5","0,009005799300564568","41,785714285714285"
"Turkey","2021-03-07","Gamma - P.1 (VOC)","0,14285714285714285","0,0013882679326861164","50,285714285714285"
"Turkey","2021-03-07","Other","1,0","0,004005705617316096","84,5"
"Turkey","2021-03-21","Alpha (VOC)","2,2142857142857144","0,05132216617693134","29,571428571428573"
"Turkey","2021-03-21","B (Lineage)","1,715953307392996","0,03170773758174449","46,36186770428016"
"Turkey","2021-03-21","B.1.1.28","0,5","0,014957771280711596","10,25"
"Turkey","2021-03-21","B.1.1.318 (AFM)","1,7777777777777777","0,05508392781581419","19,0"
"Turkey","2021-03-21","B.1.177 (20E/EU1)","0,5","0,006056033928698814","45,27272727272727"
"Turkey","2021-03-21","Beta (VOC)","4,904761904761905","0,17046252382269703","34,80952380952381"
"Turkey","2021-03-21","C (Lineage)","1,0","0,014373716632443531","158,0"
"Turkey","2021-03-21","Eta (VOI)","2,0","0,03200435104417633","53,0"
"Turkey","2021-03-21","Gamma - P.1 (VOC)","0,7","0,02189081348001064","22,8"
"Turkey","2021-04-04","Alpha (VOC)","1,8571428571428572","0,04353539608846106","69,71428571428571"
"Turkey","2021-04-04","B (Lineage)","4,914285714285715","0,04514331285710469","63,77857142857143"
"Turkey","2021-04-04","B.1.1.318 (AFM)","0,46153846153846156","0,023698783952720345","56,30769230769231"
"Turkey","2021-04-04","B.1.177 (20E/EU1)","0,14285714285714285","0,0014815359961911374","20,142857142857142"
"Turkey","2021-04-04","Beta (VOC)","13,454545454545455","0,25459809767452196","79,95454545454545"
"Turkey","2021-04-04","Epsilon (AFM)","0,14285714285714285","0,0014815359961911374","20,142857142857142"
"Turkey","2021-04-04","Eta (VOI)","1,3846153846153846","0,03937109508133379","78,6923076923077"
"Turkey","2021-04-04","Gamma - P.1 (VOC)","0,7333333333333333","0,041908838302535285","70,53333333333333"
"Turkey","2021-04-18","Alpha (VOC)","0,45454545454545453","0,31102200504745225","1,0909090909090908"
"Turkey","2021-04-18","B (Lineage)","0,125","0,12108831648322017","0,46875"
"Turkey","2021-04-18","B.1.1.318 (AFM)","0,0","0,0012870012870012867","0,0"
"Turkey","2021-04-18","Beta (VOC)","0,6","0,36738204248346235","0,9"
"Turkey","2021-04-18","Eta (VOI)","0,0","0,012481693516176274","0,0"
"Turkey","2021-04-18","Gamma - P.1 (VOC)","0,0","0,0038610038610038602","0,0"
"Turkey","2021-05-02","B (Lineage)","2,0307692307692307","0,10032641505292271","18,76923076923077"
"Turkey","2021-05-02","B.1.177 (20E/EU1)","0,5","0,01506263462785202","21,666666666666668"
"Turkey","2021-05-02","Beta (VOC)","1,0","0,05548674482755829","18,571428571428573"
"Turkey","2021-05-16","Alpha (VOC)","1,4444444444444444","0,06163020267790964","24,666666666666668"
"Turkey","2021-05-16","B (Lineage)","2,2358490566037736","0,08410631514210964","25,77358490566038"
"Turkey","2021-05-16","B.1.177 (20E/EU1)","0,0","0,014904698581560284","0,0"
"Turkey","2021-05-16","Beta (VOC)","2,727272727272727","0,09864359656819245","26,363636363636363"
"Turkey","2021-05-16","C (Lineage)","6,0","0,12524850894632206","86,0"
"Turkey","2021-05-16","C.36.3 (AFM)","0,2857142857142857","0,02465790219293787","12,285714285714286"
