"location","date","A (Lineage)","A.2.5","A.23.1","A.28","AD (Lineage)","AM (Lineage)","Alpha (WHO VOC)","Alpha - Q.4 (WHO VOC)","B (Lineage)","B.1.1.519 (WHO FMV)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.258 - 20A/S:439K","B.1.466.2 (WHO FMV)","Beta (WHO VOC)","C (Lineage)","C.16","Delta (WHO VOC)","Epsilon (WHO VOI)","Eta (WHO VOI)","L (Lineage)","Other","R.1 (WHO FMV)","Unknown"
"United Arab Emirates","2020-02-09","5,0","","","","","","","","3,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-02-23","","","","","","","","","6,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-03-08","","","","","","","","","32,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-03-22","","","","","","","","","108,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-04-05","375,0","","","","","","","","1272,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-04-19","1477,0","","","","","","","","3506,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-05-03","1166,0","","","","","","","","6152,0","65,0","","","","","","","","","","","","","",""
"United Arab Emirates","2020-05-17","1780,0","","","","","","","","7416,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-05-31","2318,0","","","","","","","","8882,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-06-14","2381,0","","","","","","","","5357,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-06-28","577,0","","","","","","","","4927,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-07-12","214,0","","","","","","","","6844,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-07-26","","","","","","","","","","","","","","","","","","","","","","","","4059,0"
"United Arab Emirates","2020-08-09","","","","","","","","","3612,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-08-23","","","","","","","","","4482,0","","","","","","","","","","","","","","",""
"United Arab Emirates","2020-09-06","209,0","","","","","","","","6144,0","","","","","","105,0","521,0","","","","","","","",""
"United Arab Emirates","2020-09-20","591,0","","","","","","","","9455,0","","","296,0","","","","591,0","","","","","","","",""
"United Arab Emirates","2020-10-04","176,0","","176,0","","","","176,0","","13007,0","","","","","","","352,0","","","","","","","",""
"United Arab Emirates","2020-10-18","","","","","","","934,0","","11201,0","","","4667,0","","","","","","","","","","","",""
"United Arab Emirates","2020-11-01","","","","","","","","","14363,0","","","3661,0","","","","282,0","","","","","","","",""
"United Arab Emirates","2020-11-15","","","","","","","1827,0","","12786,0","","","","","","","1827,0","","","","","","","",""
"United Arab Emirates","2020-11-29","","","","","203,0","","608,0","","13967,0","","1215,0","810,0","","","","608,0","","","","","","","",""
"United Arab Emirates","2020-12-13","","","","","","","359,0","","15405,0","","717,0","359,0","","","","359,0","","","","","","","",""
"United Arab Emirates","2020-12-27","939,0","188,0","376,0","376,0","","","2440,0","","9757,0","","188,0","563,0","","188,0","939,0","563,0","188,0","","","","","188,0","",""
"United Arab Emirates","2021-01-10","877,0","","526,0","","","176,0","9289,0","176,0","13495,0","176,0","176,0","","351,0","176,0","526,0","1928,0","","","176,0","176,0","","351,0","176,0",""
