"location","date","A (Lineage)","A.23.1","A.27","A.28","AA (Lineage)","AB (Lineage)","AC (Lineage)","AD (Lineage)","AE (Lineage)","AF (Lineage)","AG (Lineage)","AH (Lineage)","AJ (Lineage)","AK (Lineage)","AL (Lineage)","AM (Lineage)","AN (Lineage)","AP (Lineage)","AQ (Lineage)","AS (Lineage)","AT.1","AU (Lineage)","AV.1 (PHE VUI)","AW (Lineage)","AZ (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.2 (WHO VOC)","Alpha - Q.3 (WHO VOC)","Alpha - Q.4 (WHO VOC)","Alpha - Q.5 (WHO VOC)","Alpha - Q.6 (WHO VOC)","Alpha - Q.7 (WHO VOC)","Alpha - Q.8 (WHO VOC)","B (Lineage)","B.1.1.277 - 20B/S:626S","B.1.1.28","B.1.1.302 - 20B/S:1122L","B.1.1.318 (WHO AFM)","B.1.1.519 - 20B/S:732A","B.1.1.523 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.214.2 (WHO AFM)","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","B.1.367 - 20C/S:80Y","B.1.466.2 (WHO AFM)","B.1.616","B.1.617.3 (CDC VBM)","B.1.619 (WHO AFM)","B.1.620 - 20A/S:126A","B.1.623 (PHE VUI)","B.1.630 (WHO AFM)","Beta (WHO VOC)","C (Lineage)","C.1.2 (WHO AFM)","C.16","C.36 (ECDC VUM)","C.36.3 (WHO AFM)","D (Lineage)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.7 (WHO VOC)","Delta - AY.8 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Eta (WHO AFM)","G (Lineage)","Gamma (WHO VOC)","Gamma - P.1.1 (WHO VOC)","Gamma - P.1.2 (WHO VOC)","Gamma - P.1.3 (WHO VOC)","Gamma - P.1.4 (WHO VOC)","Gamma - P.1.5 (WHO VOC)","Gamma - P.1.6 (WHO VOC)","Gamma - P.1.7 (WHO VOC)","Gamma - P.1.8 (WHO VOC)","Gamma - P.1.9 (WHO VOC)","Iota (WHO AFM)","K (Lineage)","Kappa (WHO AFM)","L (Lineage)","Lambda (WHO VOI)","M (Lineage)","Mu - 21H (WHO VOI)","N (Lineage)","N.7 (UY-GTI)","Other","P (Lineage)","P.6 (UY-GTI)","P.7","R.1 (WHO AFM)","R.2","S (Lineage)","Theta - P.3 (PHE VUI)","U (Lineage)","V (Lineage)","W (Lineage)","XA (Lineage)","Y (Lineage)","Z (Lineage)","Zeta - P.2 (CDC VBM)"
"World","2020-01-26","34,69387755102041","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","65,3061224489796","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-02-09","19,20152091254753","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,19011406844106463","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","78,51711026615969","0,0","0,0","0,0","0,0","0,0","0,0","0,38022813688212925","0,38022813688212925","0,0","0,5703422053231939","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,38022813688212925","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,19011406844106463","0,0","0,0","0,0","0,0","0,0","0,19011406844106463","0,0","0,0","0,0","0,0"
"World","2020-02-23","11,337868480725625","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","85,94104308390023","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6802721088435374","0,0","0,45351473922902497","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,45351473922902497","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,22675736961451248","0,0","0,45351473922902497","0,0","0,0","0,0","0,45351473922902497","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-03-08","20,517884573184112","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","79,3065613342111","0,0","0,021944261575597982","0,0","0,0","0,0","0,0","0,0","0,043888523151195964","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,06583278472679394","0,0","0,0","0,0","0,0","0,0","0,0","0,021944261575597982","0,0","0,0","0,0","0,021944261575597982","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-03-22","15,10440907257439","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05585032113934655","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","84,47981631449937","0,018616773713115518","0,2016817152254181","0,0","0,0","0,0","0,0","0,009308386856557759","0,03102795618852586","0,0","0,012411182475410343","0,006205591237705171","0,0","0,0","0,0","0,0","0,0031027956188525857","0,0","0,0","0,0","0,006205591237705171","0,01551397809426293","0,0","0,0","0,006205591237705171","0,0","0,0031027956188525857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,006205591237705171","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,006205591237705171","0,0031027956188525857","0,0","0,0","0,0","0,0","0,0","0,024822364950820686","0,0","0,0","0,0","0,006205591237705171","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-04-05","7,509817881174931","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","91,68637898169627","0,05741450979491537","0,3582665411202719","0,0","0,0","0,0","0,0","0,0022965803917966146","0,011482901958983074","0,0","0,0","0,006889741175389845","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,004593160783593229","0,08038031371288153","0,0","0,0","0,020669223526169535","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,20439565486989872","0,0","0,0","0,0","0,025262384309762763","0,0","0,03215212548515261","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-04-19","4,65031347008339","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0030433988678556212","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03652078641426745","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","92,61671434658226","0,03956418528212308","0,5873759814961349","0,0","0,0","0,0","0,0","0,0030433988678556212","0,015216994339278107","0,0","0,018260393207133727","0,012173595471422485","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,08521516829995739","0,0","0,0","0,0","0,0","0,0030433988678556212","0,13695294905350294","0,0","0,0","0,009130196603566863","0,7304157282853491","0,03652078641426745","0,03347738754641183","0,0","0,0","0,012173595471422485","0,012173595471422485","0,0","0,0","0,0060867977357112425","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8978026660174082","0,0","0,0","0,0","0,027390589810700586","0,0","0,021303792074989347","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0060867977357112425"
"World","2020-05-03","3,6358991825613076","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,004257493188010899","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,08940735694822888","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","94,12465940054496","0,017029972752043595","0,7024863760217983","0,0","0,0","0,0","0,0","0,004257493188010899","0,004257493188010899","0,0","0,004257493188010899","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07663487738419619","0,0","0,0","0,012772479564032697","0,004257493188010899","0,004257493188010899","0,10643732970027249","0,0","0,004257493188010899","0,012772479564032697","0,3916893732970027","0,038317438692098096","0,008514986376021797","0,0","0,0","0,012772479564032697","0,008514986376021797","0,0","0,0","0,008514986376021797","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,017029972752043595","0,0","0,0","0,5619891008174387","0,0","0,0","0,0","0,127724795640327","0,0","0,017029972752043595","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-05-17","2,3483365949119372","0,0","0,005591277606933184","0,0","0,0","0,0","0,0","0,0","0,016773832820799552","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1062342745317305","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","96,0413754542913","0,03913894324853229","0,547945205479452","0,0","0,0","0,0","0,0","0,005591277606933184","0,005591277606933184","0,0","0,016773832820799552","0,005591277606933184","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,011182555213866368","0,2068772714565278","0,0","0,0","0,033547665641599105","0,0","0,016773832820799552","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,011182555213866368","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,011182555213866368","0,0","0,0","0,212468549063461","0,0","0,0","0,0","0,3187028235951915","0,0","0,03913894324853229","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-05-31","2,0566341800322308","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,06139206507558898","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","96,31647609546467","0,023022024403345866","0,24556826030235593","0,0","0,0","0,0","0,0","0,007674008134448623","0,03837004067224311","0,0","0,0","0,015348016268897246","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,007674008134448623","0,4143964392602256","0,0","0,0","0,10743611388228072","0,0","0,1458061545545238","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0690660732100376","0,0","0,0","0,0","0,4297444555291229","0,0","0,05371805694114036","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,007674008134448623"
