"location","continent","population","start","end","range","cases_100k","variation","var_inc","var_inc_fmt"
"Afghanistan","Asia","39835428,0","0,64","0,69","warning [0.1 to 0.99]","7,15","1","1,2","+"
"Albania","Europe","2872934,0","1,11","0,84","warning [0.1 to 0.99]","23,81","-47","0,33","-"
"Algeria","Africa","44616626,0","0,0","0,0","low [0 to 0.09]","0,69","-2","0,25","-"
"Andorra","Europe","77354,0","2,84","1,96","to risky wave [1.5 to 1.99]","465,39","-627","0,43","-"
"Angola","Africa","33933611,0","0,0","0,0","low [0 to 0.09]","0,75","0","1,5","x2"
"Anguilla","North America","15125,0","1,73","1,89","to risky wave [1.5 to 1.99]","416,53","93","1,29","+"
"Antigua and Barbuda","North America","98728,0","1,0","0,86","warning [0.1 to 0.99]","26,33","-21","0,55","-"
"Argentina","South America","45605823,0","1,57","1,36","caution [1 to 1.49]","149,6","-90","0,63","-"
"Armenia","Asia","2968128,0","1,48","0,9","warning [0.1 to 0.99]","31,8","-166","0,16","-"
"Aruba","North America","107195,0","1,27","1,25","caution [1 to 1.49]","111,01","-7","0,94","-"
"Australia","Oceania","25788217,0","3,46","4,91","very high wave [4 to 5.99]","2001,44","701","1,54","x2"
"Austria","Europe","9043072,0","11,41","12,0","critical wave [more than 6]","6751,59","2387","1,55","x2"
"Azerbaijan","Asia","10223344,0","1,47","0,81","warning [0.1 to 0.99]","20,65","-125","0,14","-"
"Bahamas","North America","396914,0","0,89","0,64","warning [0.1 to 0.99]","8,57","-21","0,29","-"
"Bahrain","Asia","1748295,0","4,34","2,89","high wave [2 to 3.99]","1125,95","-865","0,57","-"
"Bangladesh","Asia","166303494,0","0,64","0,0","low [0 to 0.09]","2,09","-6","0,25","-"
"Barbados","North America","287708,0","2,5","2,21","high wave [2 to 3.99]","635,71","-208","0,75","-"
"Belarus","Europe","9442867,0","2,13","1,54","to risky wave [1.5 to 1.99]","226,26","-280","0,45","-"
"Belgium","Europe","11632334,0","2,43","2,98","high wave [2 to 3.99]","950,24","159","1,2","+"
"Belize","North America","404915,0","1,48","1,15","caution [1 to 1.49]","79,28","-118","0,4","-"
"Benin","Africa","12451031,0","0,0","0,0","low [0 to 0.09]","0,0","0","0,0","-"
"Bermuda","North America","62092,0","2,03","2,57","high wave [2 to 3.99]","890,61","378","1,74","x2"
"Bhutan","Asia","779900,0","2,75","4,62","very high wave [4 to 5.99]","1245,67","640","2,06","x2"
"Bolivia","South America","11832936,0","1,0","0,93","warning [0.1 to 0.99]","36,05","-11","0,76","-"
"Bonaire Sint Eustatius and Saba","North America","26445,0","1,84","2,84","high wave [2 to 3.99]","1089,05","703","2,82","x3"
