index,Date,tot_positive,tot_tests,positive,tests
0,2020-03-06,1.0,,1.0,
1,2020-03-07,6.0,,5.0,
2,2020-03-09,9.0,,3.0,
3,2020-03-10,11.0,,2.0,
4,2020-03-11,17.0,,6.0,
5,2020-03-12,22.0,,5.0,
11,2020-03-13,38.0,,16.0,
17,2020-03-14,43.0,,5.0,
28,2020-03-15,71.0,,28.0,
39,2020-03-16,86.0,,15.0,
51,2020-03-17,117.0,,31.0,
64,2020-03-18,145.0,,28.0,
77,2020-03-19,234.0,,89.0,
91,2020-03-20,263.0,,29.0,
105,2020-03-21,318.0,,55.0,
119,2020-03-22,361.0,,43.0,
134,2020-03-23,395.0,,34.0,
150,2020-03-24,416.0,,21.0,
167,2020-03-25,480.0,,64.0,
184,2020-03-26,580.0,,100.0,
202,2020-03-27,635.0,,55.0,
220,2020-03-28,671.0,,36.0,
240,2020-03-29,852.0,,181.0,
260,2020-03-30,950.0,,98.0,
280,2020-03-31,1065.0,,115.0,
301,2020-04-01,1323.0,,258.0,
322,2020-04-02,1414.0,,91.0,
344,2020-04-03,1595.0,,181.0,
366,2020-04-04,1746.0,,151.0,
389,2020-04-05,2281.0,,535.0,
412,2020-04-06,2561.0,,280.0,
436,2020-04-07,2954.0,,393.0,
461,2020-04-08,4342.0,39599.0,1388.0,
486,2020-04-09,5256.0,48465.0,914.0,8866.0
512,2020-04-10,5897.0,56681.0,641.0,8216.0
538,2020-04-11,6848.0,65712.0,951.0,9031.0
564,2020-04-12,7519.0,76506.0,671.0,10794.0
590,2020-04-13,9784.0,87166.0,2265.0,10660.0
616,2020-04-14,10303.0,102216.0,519.0,15050.0
642,2020-04-15,11475.0,109385.0,1172.0,7169.0
668,2020-04-16,12491.0,121468.0,1016.0,12083.0
694,2020-04-17,13489.0,127513.0,998.0,6045.0
720,2020-04-18,14420.0,135895.0,931.0,8382.0
746,2020-04-19,15628.0,143745.0,1208.0,7850.0
772,2020-04-20,16325.0,148011.0,697.0,4266.0
798,2020-04-21,17837.0,156208.0,1512.0,8197.0
824,2020-04-22,19250.0,170400.0,1413.0,14192.0
850,2020-04-23,20914.0,185238.0,1664.0,14838.0
876,2020-04-24,21648.0,198349.0,734.0,13111.0
902,2020-04-25,25331.0,218195.0,3683.0,19846.0
928,2020-04-26,27517.0,232747.0,2186.0,14552.0
954,2020-04-27,28699.0,239563.0,1182.0,6816.0
980,2020-04-28,31190.0,267612.0,2491.0,28049.0
1006,2020-04-29,33931.0,296262.0,2741.0,28650.0
1032,2020-04-30,36976.0,318252.0,3045.0,21990.0
1058,2020-05-01,40459.0,342498.0,3483.0,24246.0
1084,2020-05-02,42534.0,355604.0,2075.0,13106.0
1110,2020-05-03,45928.0,375096.0,3394.0,19492.0
1136,2020-05-04,47372.0,389309.0,1444.0,14213.0
1162,2020-05-05,51189.0,406579.0,3817.0,17270.0
1188,2020-05-06,54817.0,429458.0,3628.0,22879.0
1214,2020-05-07,58526.0,448020.0,3709.0,18562.0
1240,2020-05-08,61847.0,473190.0,3321.0,25170.0
1266,2020-05-09,65015.0,494250.0,3168.0,21060.0
1292,2020-05-10,67307.0,504930.0,2292.0,10680.0
1318,2020-05-11,68822.0,512869.0,1515.0,7939.0
1344,2020-05-12,72059.0,532169.0,3237.0,19300.0
1370,2020-05-13,76306.0,553302.0,4247.0,21133.0
1396,2020-05-14,80604.0,587292.0,4298.0,33990.0
